# Please attribute to @zetalytics or https://zetalytics.com
# Raw un-analyzed first seen host data
# Make your own assessment of malicious activity or intent
# dname_first_ts,qname,value,geoip.country_iso_code,geoip.continent_name
2020-04-10,6mysecure-facebookcovid19petition.cf,6mysecure-facebookcovid19petition.cf,,
2020-04-10,9mysecure-facebookcovid19petition.cf,9mysecure-facebookcovid19petition.cf,,
2020-04-10,coronavirusdeceasecure.com,192.185.0.218,US,North America
2020-04-10,coronavirusdeceasecure.com,coronavirusdeceasecure.com,,
2020-04-10,coronavirustestkits.co.nz,103.96.117.53,NZ,Oceania
2020-04-10,covid19rxcure.com,91.195.240.94,DE,Europe
2020-04-10,covid19rxcure.com,covid19rxcure.com,,
2020-04-10,covid19test-dz.com,185.199.108.153,NL,Europe
2020-04-10,covid19test-dz.com,185.199.109.153,NL,Europe
2020-04-10,covid19test-dz.com,185.199.110.153,NL,Europe
2020-04-10,covid19test-dz.com,185.199.111.153,NL,Europe
2020-04-10,covid19testforyou.com,50.63.202.34,US,North America
2020-04-10,covid19testing.ru,185.165.123.36,RU,Europe
2020-04-10,covid19test.jp,150.95.48.68,JP,Asia
2020-04-10,covid19teststarterkit.com,50.63.202.38,US,North America
2020-04-10,covid-19-test.tech,covid-19-test.tech.cdn.cloudflare.net,,
2020-04-10,covidtestingtelehealth.com,ns33.domaincontrol.com,,
2020-04-10,covidtestingtelehealth.com,ns34.domaincontrol.com,,
2020-04-10,cpcalendars.covid19testkits.nz,103.96.117.53,NZ,Oceania
2020-04-10,denvercovid-19test.com,184.168.221.51,US,North America
2020-04-10,erythromycincovid19cure.com,erythromycincovid19cure.com,,
2020-04-10,fastcovid19testing.com,184.168.221.41,US,North America
2020-04-10,fastcovid19testing.com,50.63.202.62,US,North America
2020-04-10,houstoncoronavirustest.com,184.168.221.33,US,North America
2020-04-10,infocurecovid19.com,184.168.221.42,US,North America
2020-04-10,infocurecovid19.com,184.168.221.43,US,North America
2020-04-10,infocurecovid19.com,infocurecovid19.com,,
2020-04-10,lacovid-19test.com,184.168.221.46,US,North America
2020-04-10,mail.covid19testkits.nz,103.96.117.53,NZ,Oceania
2020-04-10,mail.covid19testkits.nz,covid19testkits.nz,,
2020-04-10,miamicovid19tests.com,184.168.221.44,US,North America
2020-04-10,miamicovid19tests.com,184.168.221.49,US,North America
2020-04-10,msecure1-facebookcovid19petition.ga,142.93.73.124,US,North America
2020-04-10,msecure1-facebookcovid19petition.ga,msecure1-facebookcovid19petition.ga,,
2020-04-10,msecure6-facebookcovid19petition.ga,142.93.73.124,US,North America
2020-04-10,msecure6-facebookcovid19petition.ga,msecure6-facebookcovid19petition.ga,,
2020-04-10,my1secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my1secure-facebookcovid19petition.cf,my1secure-facebookcovid19petition.cf,,
2020-04-10,my2secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my2secure-facebookcovid19petition.cf,my2secure-facebookcovid19petition.cf,,
2020-04-10,my3secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my3secure-facebookcovid19petition.cf,my3secure-facebookcovid19petition.cf,,
2020-04-10,my5secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my5secure-facebookcovid19petition.cf,my5secure-facebookcovid19petition.cf,,
2020-04-10,my8secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my8secure-facebookcovid19petition.cf,my8secure-facebookcovid19petition.cf,,
2020-04-10,my9secure-facebookcovid19petition.cf,142.93.73.124,US,North America
2020-04-10,my9secure-facebookcovid19petition.cf,my9secure-facebookcovid19petition.cf,,
2020-04-10,mysecure5-facebookcovid19petition.ga,142.93.73.124,US,North America
2020-04-10,mysecure5-facebookcovid19petition.ga,mysecure5-facebookcovid19petition.ga,,
2020-04-10,newyorkcovid19testing.com,184.168.221.42,US,North America
2020-04-10,orlandocoronavirustest.com,ns11.domaincontrol.com,,
2020-04-10,orlandocoronavirustest.com,ns12.domaincontrol.com,,
2020-04-10,philadelphiacoronavirustests.com,50.63.202.34,US,North America
2020-04-10,quickcovid-19test.com,50.63.202.41,US,North America
2020-04-10,sanantoniocoronavirustest.com,50.63.202.42,US,North America
2020-04-10,sanantoniocoronavirustesting.com,184.168.221.33,US,North America
2020-04-10,sanantoniocoronavirustesting.com,184.168.221.60,US,North America
2020-04-10,sanantoniocovid-19testing.com,184.168.221.52,US,North America
2020-04-10,securecovid19.com,securecovid19.com,,
2020-04-10,stopcovid19.test.yuseiito.com,clever-meninsky-f4d52a.netlify.com,,
